1, 242, 164
2, 275, 358
3, 244, 318
4, 301, 335
5, 310, 234
6, 159, 270
7, 82, 142
8, 229, 286
9, 339, 256
10, 305, 358
11, 224, 339
12, 266, 253
13, 67, 53
14, 100, 143
15, 64, 294
16, 336, 303
17, 261, 267
18, 202, 86
19, 273, 43
20, 115, 256
21, 78, 356
22, 91, 234
23, 114, 146
24, 114, 260
25, 353, 346
26, 336, 283
27, 312, 341
28, 234, 119
29, 281, 232
30, 65, 203
31, 95, 85
32, 328, 72
33, 285, 279
34, 61, 123
35, 225, 179
36, 97, 140
37, 329, 305
38, 236, 337
39, 277, 110
40, 321, 335
41, 261, 258
42, 304, 190
43, 41, 95
44, 348, 53
45, 226, 298
46, 263, 187
47, 106, 338
48, 166, 169
49, 310, 295
50, 236, 191
